REPOSITORY                                TAG                     IMAGE ID       CREATED         SIZE
portainer/portainer-ce                    latest                  7b6e59279c38   10 days ago     275MB
bitnami/redis                             6.2                     534ec2869dc7   2 weeks ago     96MB
mariadb                                   10.7                    daf0f023c28d   3 weeks ago     414MB
stripe/stripe-cli                         latest                  4cdacf53b264   4 weeks ago     26.8MB
mariadb                                   10.6                    00b1a894e91d   4 weeks ago     413MB
node                                      16                      a76eec769c30   4 weeks ago     906MB
adminer                                   latest                  9204150dd778   4 weeks ago     90.6MB
<none>                                    <none>                  00e2b9d6b2eb   5 weeks ago     114MB
neilpang/acme.sh                          latest                  7e58d2f3b6c9   5 weeks ago     28.5MB
<none>                                    <none>                  80286bd031d1   5 weeks ago     138MB
<none>                                    <none>                  52d2636e3361   5 weeks ago     138MB
certbot/certbot                           latest                  cf3423cac8b8   6 weeks ago     115MB
redis                                     6.2-alpine              34e1dc356a22   6 weeks ago     32.4MB
nginx                                     1.21-alpine             51696c87e77e   6 weeks ago     23.4MB
php                                       8.0-fpm-alpine          40c5f6352d20   6 weeks ago     68.2MB
php                                       8.0-cli-alpine          14493ab34567   6 weeks ago     84.9MB
php                                       8.1-cli-alpine          77506786976c   6 weeks ago     92.1MB
sonarqube                                 9.4-community           4ca41017fd9b   6 weeks ago     532MB
composer                                  latest                  930aaae5d979   7 weeks ago     191MB
devwithlando/util                         4                       a26aae23c642   7 weeks ago     186MB
mlocati/php-extension-installer           latest                  e7beb473c10e   7 weeks ago     140kB
nginx                                     <none>                  53722defe627   7 weeks ago     23.4MB
php                                       <none>                  8feb32fa8eb4   7 weeks ago     68.2MB
php                                       <none>                  3dace7f73f4c   7 weeks ago     84.9MB
nginx                                     latest                  f2f70adc5d89   2 months ago    141MB
busybox                                   latest                  2fb6fc2d97e1   2 months ago    1.24MB
portainer/portainer-ce                    2.9.3                   ad0ecf974589   6 months ago    252MB
hello-world                               latest                  feb5d9fea6a5   8 months ago    13.3kB
devwithlando/php                          7.1-fpm-3               c1741a4200e3   8 months ago    956MB
elasticsearch                             6.8.18                  a9b226f5ba29   9 months ago    937MB
mysql                                     8.0.25                  5c62e459e087   11 months ago   556MB
node                                      10                      28dca6642db8   13 months ago   910MB
bitnami/mariadb                           10.3.27-debian-10-r84   3adb22207976   15 months ago   319MB
php                                       7.2-apache              c61d277263e1   17 months ago   410MB
mailhog/mailhog                           latest                  4de68494cd0d   21 months ago   392MB
mailhog/mailhog                           v1.0.1                  4de68494cd0d   21 months ago   392MB
bitnami/nginx                             1.17.10-debian-10-r52   74b43dfaca6c   24 months ago   85.6MB
traefik                                   2.2.0                   be850d674b66   2 years ago     76MB
php                                       7.2.25-fpm-alpine       d6d6955cedf6   2 years ago     76.4MB
php                                       7.2.25-cli-alpine       b69cb2878667   2 years ago     76.2MB
mariadb                                   10.3.20                 7df32a1b7cb3   2 years ago     343MB
kilna/liquibase-mysql                     5.1.45                  8ddfb03fd16a   4 years ago     167MB
